PK_LAB_RESULT_ITEM_ID,obo,molent,ion,specimen_obo,POC,total,indirect,direct,random,method,notes
11841085,CHEBI:24996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862705,CHEBI:25108,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
163095,CHEBI:25108,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
11844097,CHEBI:25108,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
8788071,CHEBI:25108,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
4855917,CHEBI:26217,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
159166,CHEBI:26217,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
8830006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11845086,CHEBI:26217,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
159945,CHEBI:26217,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
11922676,CHEBI:26217,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
171919,CHEBI:26217,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
8839004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4863260,CHEBI:26217,TRUE,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,urine?
163932,CHEBI:26217,TRUE,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
11842208,CHEBI:26217,TRUE,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
11810004,CHEBI:26217,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
4868235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4855900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11842225,CHEBI:26217,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
773007,CHEBI:26217,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
11844069,CHEBI:26217,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1407007,CHEBI:26217,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1410006,CHEBI:26217,TRUE,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
11845341,CHEBI:26217,TRUE,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
10053008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12431015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171523,CHEBI:26217,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
10283016,CHEBI:26217,TRUE,NA,UBERON:0001088,NA,NA,NA,NA,NA,NA,NA
4858968,CHEBI:2637,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
164598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11842159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16256003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
